Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C8",0805,3,0.1uF,C49678
"C2, C6, C7",0805,3,10uF,C15850
C4,CP_EIA-3528-21_Kemet-B,1,100uF,C16133
C5,CP_EIA-3216-18_Kemet-A,1,10uF,C7171
"J1, J2",Jack_3.5mm_PJ320D_Horizontal,2,PJ-320D,C431535
J3,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,JST_PH_1x02,C295747
"J4, J5, J8",PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left,3,Conn_01x04_Pin,C2883761
"J6, J7",BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,2,KH-BNC50-3511,C2837587
"R1, R11, R2, R8",0805,4,47k,C17713
R10,0805,1,1K5,C4310
R12,0805,1,100R,C17408
R3,0805,1,1K,C17513
R4,0805,1,22K,C17560
"R5, R6, R9",0805,3,560R,C28636
R7,0805,1,10K,C17414
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,AD8397,C578714
