Designator,Mid X,Mid Y,Rotation,Layer
C1,134.48416,-82.383586,270.0,top
C2,127.044661,-75.407924,90.0,top
C3,123.545548,-79.964736,0.0,top
C4,116.4,-55.2375,90.0,top
C5,134.525751,-76.916676,270.0,top
C6,137.55,-67.3,180.0,top
C7,150.2,-79.3,180.0,top
C8,142.35,-74.6,180.0,top
J1,110.608629,-69.760547,90.0,top
J2,190.387072,-68.787311,270.0,top
J3,106.8,-55.4,270.0,top
J4,109.87,-93.955,180.0,top
J5,188.1,-93.4,180.0,top
J6,171.98,-85.32,0.0,top
J7,154.4,-85.3,0.0,top
J8,130.07,-94.355,180.0,top
R1,123.473345,-77.666676,180.0,top
R10,114.6,-87.9,0.0,top
R11,142.3,-77.2,180.0,top
R12,141.4,-79.8,180.0,top
R2,123.528939,-82.366676,0.0,top
R3,127.070226,-80.373483,90.0,top
R4,130.6,-81.4125,90.0,top
R5,131.311344,-75.050737,270.0,top
R6,155.4125,-79.3,0.0,top
R7,142.3,-86.5875,270.0,top
R8,142.4125,-72.2,0.0,top
R9,139.6,-83.5125,270.0,top
U1,131.400433,-87.190529,0.0,top
