Designator,Mid X,Mid Y,Rotation,Layer
C1,48.762177,20.995223,270.0,top
C2,41.322678,27.970885,90.0,top
C3,37.823565,23.414073,0.0,top
C4,13.256255,22.103008,0.0,top
C5,48.803768,26.462133,270.0,top
C6,64.732469,15.865838,0.0,top
C7,74.262807,19.765356,180.0,top
C8,56.628017,28.778809,180.0,top
J1,30.0,7.0,180.0,top
J2,62.0,7.0,180.0,top
J3,13.599323,29.860351,180.0,top
J6,14.0,10.2,0.0,top
J7,78.0,10.2,0.0,top
J8,41.43807,8.090933,180.0,top
R1,37.751362,25.712133,180.0,top
R11,56.578017,26.178809,180.0,top
R12,55.678017,23.578809,180.0,top
R2,37.806956,21.012133,0.0,top
R3,41.348243,23.005326,90.0,top
R4,44.878017,21.966309,90.0,top
R5,45.589361,28.328072,270.0,top
R6,79.475307,19.765356,0.0,top
R7,56.578017,16.791309,270.0,top
R8,56.690517,31.178809,0.0,top
R9,53.878017,19.866309,270.0,top
U1,45.67845,16.18828,0.0,top
