Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C15, C18, C2, C20, C21, C22, C23, C24, C30, C31, C32",0402,13,100n,C307331
"C10, C17, C27, C36, C4, C6, C9",0603,7,100n,C14663
"C11, C14",0603,2,33p,C1663
"C13, C26, C7, C8",0603,4,10u,C19702
"C16, C19",0603,2,2u2,C23630
C25,0603,1,47p,C1671
"C28, C29",0603,2,4u7,C19666
"C3, C33, C5",CP_EIA-3216-18_Kemet-A,3,10u,C7171
"C34, C35",0603,2,10u,C96446
"C38, C39, C40",0805,3,22uF,C45783
D1,0805,1,LED,C130114
D4,LED_RGB_MHS110FRGBCT,1,LED_ABGR,C496820
FB1,0603,1,120Ω@100MHz ,C127301
J1,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,Conn_01x02,C295747
"J11, J12, J13, J4",BNC_Amphenol_B6252HB-NPP3G-50_Horizontal-CJ,4,KH-BNC50-3511,C2837587
"J2, J3",Jack_3.5mm_PJ320D_Horizontal-CJ,2,PJ-320D,C431535
J6,JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal,1,Conn_01x03,C265101
J9,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle,C165948
L1,L_Coilcraft_XAL4020-XXX,1,1.5uH,C3033018
"Q3, Q4, Q5",SOT-23,3,2N7002,C8545
"R1, R13, R16, R19, R2",0603,5,560R,C23204
"R10, R11, R17, R20, R23, R25, R27, R28, R29, R35, R36, R42, R43, R44, R45, R49, R5, R50, R54, R56, R57",0603,21,1K0,C21190
"R12, R15",0603,2,1K5,C22843
"R14, R18, R3, R34, R39, R4, R51, R52, R53, R61, R9",0603,11,47K,C25819
"R21, R22",0603,2,5K1,C23186
R24,0603,1,200R,C8218
"R26, R31, R32, R33, R40, R41",0603,6,4K7,C23162
R30,0603,1,2K0,C22975
"R37, R38, R62",1206,3,0R1,C25334
R46,0603,1,150R,C22808
"R47, R48",0603,2,47R,C23182
"R58, R60",0603,2,12K,C22790
R59,0603,1,120K,C25808
R6,0603,1,10K,C25804
R7,0603,1,1R0,C22936
R8,0603,1,100K,C25803
"S1, S2",SW_147873-2,2,147873-2,C266189
SW1,SW_E-Switch_EG1224_SPDT_Angled,1,SW_SPDT,C273395
"SW2, SW3, SW4",PBH4UOANAGX,3,SW_Push_4PDT,C273424
"U1, U13",SOT-223-3_TabPin2,2,AMS1117-3.3,C6186
U10,SOT-563,1,TMP112AIDRLR,C28927
"U11, U12",SOT-23-5,2,MAX40200AUK,C2649430
"U14, U5, U6",SOT-23-5,3,SN74LVC1G14DBV,C133145
U16,Texas_S-PWSON-N10_ThermalVias,1,TPS63060,C48567
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,AD8397,C578714
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,M24C02-RMN,C83836
U4,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,C15742
U7,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,C84681
U8,SOT-666,1,USBLC6-2P6,C2827693
U9,SOT-23-5,1,MCP73832-2-OT,C424093
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz ,C13738
