Designator,Mid X,Mid Y,Rotation,Layer
C1,33.97611,17.837502,270.0,top
C10,41.248698,9.44951,270.0,top
C11,58.180329,20.770106,270.0,top
C12,65.879117,28.771781,270.0,top
C13,18.0,75.65,270.0,top
C14,51.888232,20.63908,90.0,top
C15,67.268925,35.851284,0.0,top
C16,66.847579,34.313396,180.0,top
C17,20.535747,65.982169,270.0,top
C18,48.528381,27.925498,90.0,top
C19,53.186075,40.010794,0.0,top
C2,94.62,54.5,0.0,top
C20,56.619668,12.041669,90.0,top
C21,51.757468,38.021077,180.0,top
C22,60.238478,22.532934,270.0,top
C23,29.527418,79.865516,90.0,top
C24,25.282253,76.121935,180.0,top
C25,22.168258,79.229231,0.0,top
C26,29.1,64.0,90.0,top
C27,21.85053,45.591319,180.0,top
C28,102.32,67.8,0.0,top
C29,81.172507,73.668878,180.0,top
C3,34.136094,13.776255,270.0,top
C30,53.6773,17.234563,270.0,top
C31,31.8248,72.109979,0.0,top
C32,82.478416,82.869984,180.0,top
C33,36.312698,72.593768,0.0,top
C34,87.957239,14.864974,90.0,top
C35,86.157239,14.864974,90.0,top
C36,94.255886,8.941552,180.0,top
C37,67.723589,8.110359,0.0,top
C38,100.657239,15.039974,90.0,top
C39,98.257239,14.939974,90.0,top
C4,36.868028,76.39666,180.0,top
C40,96.057239,15.039974,90.0,top
C5,24.329034,62.35,90.0,top
C6,21.711843,61.812494,270.0,top
C7,19.6,58.1,90.0,top
C8,21.935954,50.13937,180.0,top
C9,29.774262,50.15275,180.0,top
D1,97.328762,75.080174,270.0,top
D4,118.05,55.0,270.0,top
J1,73.060701,19.641973,180.0,top
J11,10.5,78.0,270.0,top
J12,10.5,46.0,270.0,top
J13,10.5,14.0,270.0,top
J2,7.0,62.0,90.0,top
J3,7.0,30.0,90.0,top
J4,108.652288,79.0,90.0,top
J6,38.900984,46.3062,0.0,top
J9,113.9,64.0,90.0,top
L1,91.842239,18.889974,0.0,top
Q1,73.218818,11.397254,180.0,top
Q2,77.48629,11.360935,0.0,top
Q3,103.6,56.0625,270.0,top
Q4,107.5,56.0,270.0,top
Q5,111.3,55.4625,270.0,top
R1,32.2,54.3,90.0,top
R10,16.10424,66.057948,270.0,top
R11,18.297294,66.088836,90.0,top
R12,44.475341,14.624419,270.0,top
R13,18.1,80.2875,90.0,top
R14,65.78784,8.953331,90.0,top
R15,57.619668,9.536669,270.0,top
R16,22.002513,47.794122,0.0,top
R17,45.648108,36.900607,0.0,top
R18,79.432574,6.100029,180.0,top
R19,32.1,59.1,270.0,top
R2,19.7,53.9125,270.0,top
R20,90.916515,63.681193,90.0,top
R21,105.975,66.275,0.0,top
R22,106.325,59.85,0.0,top
R23,20.872968,72.991215,270.0,top
R24,22.234948,81.75584,180.0,top
R25,87.590941,45.594403,180.0,top
R26,46.599679,33.486251,180.0,top
R27,81.225,76.0,0.0,top
R28,24.307564,70.372486,0.0,top
R29,88.813361,61.723083,270.0,top
R3,29.067451,44.391985,270.0,top
R30,92.575,74.9,0.0,top
R31,65.525545,24.769707,270.0,top
R32,63.861452,23.244587,270.0,top
R33,62.098711,23.15775,270.0,top
R34,80.746896,11.383557,270.0,top
R35,87.59447,34.049307,180.0,top
R36,87.590493,32.308003,180.0,top
R37,35.3625,79.1,0.0,top
R38,38.4,16.0375,270.0,top
R39,26.974264,39.433321,0.0,top
R4,29.736762,47.95275,180.0,top
R40,26.363209,45.616251,180.0,top
R41,21.950392,43.746413,180.0,top
R42,66.2,14.375,270.0,top
R43,64.6,17.575,270.0,top
R44,63.4,14.275,270.0,top
R45,62.2,17.475,270.0,top
R46,115.6,57.4,0.0,top
R47,115.6,55.7,0.0,top
R48,115.6,54.0,180.0,top
R49,94.325,69.9,180.0,top
R5,26.451365,50.177069,180.0,top
R50,95.9,71.7,0.0,top
R51,91.130088,57.36628,270.0,top
R52,86.769739,50.773804,90.0,top
R53,88.696506,50.817133,90.0,top
R54,87.071335,79.310403,0.0,top
R55,69.556378,12.35564,0.0,top
R56,86.842627,10.486039,90.0,top
R57,88.67955,10.466181,90.0,top
R58,98.352258,10.159026,0.0,top
R59,98.332515,11.876681,180.0,top
R6,18.0,71.3875,270.0,top
R60,101.700169,11.856937,180.0,top
R62,83.608836,15.540933,90.0,top
R7,26.6,63.0,90.0,top
R8,26.375,47.5,0.0,top
R9,39.348698,9.363442,90.0,top
SW1,114.2,13.4,90.0,top
SW2,100.62,28.1,270.0,top
SW3,100.62,48.1,270.0,top
SW4,100.62,38.1,270.0,top
U1,28.173781,15.171445,0.0,top
U10,55.9773,17.134563,0.0,top
U11,106.070558,12.211875,0.0,top
U12,106.028376,18.71157,180.0,top
U13,34.9,66.65,90.0,top
U14,81.858785,80.417151,180.0,top
U15,76.361893,7.468755,270.0,top
U16,91.857239,13.564974,270.0,top
U2,28.305,56.425,90.0,top
U3,51.75185,10.347112,270.0,top
U4,57.213472,32.021788,0.0,top
U5,26.700527,80.40996,90.0,top
U6,24.6375,73.45,180.0,top
U7,96.525,61.225,90.0,top
U8,105.35,63.5625,270.0,top
U9,86.6,74.6,270.0,top
Y1,55.125431,20.717049,180.0,top
