Designator,Mid X,Mid Y,Rotation,Layer
C1,33.97611,17.837502,270.0,top
C10,45.5,12.125,270.0,top
C11,50.303029,35.735543,270.0,top
C12,58.006009,43.471174,270.0,top
C13,18.0,75.65,270.0,top
C14,44.010932,35.604517,90.0,top
C15,59.395817,50.550677,0.0,top
C16,58.974471,49.012789,180.0,top
C17,20.535747,65.982169,270.0,top
C18,40.655273,42.624891,90.0,top
C19,45.6,57.325,270.0,top
C2,40.998076,15.488286,270.0,top
C20,58.648461,23.503914,90.0,top
C21,43.998403,56.518965,90.0,top
C22,52.36537,37.232327,270.0,top
C23,31.594854,80.29303,90.0,top
C24,27.349689,76.549449,180.0,top
C25,24.235694,79.656745,0.0,top
C26,36.62,60.5075,90.0,top
C3,34.136094,13.776255,270.0,top
C4,37.865005,13.348775,90.0,top
C5,24.329034,62.35,90.0,top
C6,21.711843,61.812494,270.0,top
C7,19.6,58.1,90.0,top
C8,21.935954,50.13937,180.0,top
C9,30.35,50.2,180.0,top
FB1,37.898972,17.341744,270.0,top
J1,73.55176,16.821368,90.0,top
J10,35.76,72.9,180.0,top
J11,10.5,78.0,270.0,top
J12,10.5,46.0,270.0,top
J13,10.5,14.0,270.0,top
J14,73.0,69.0,0.0,top
J2,7.0,62.0,90.0,top
J3,7.0,30.0,90.0,top
J4,108.652288,78.845141,90.0,top
J5,63.097349,21.435004,90.0,top
J6,47.84,80.8,0.0,top
J7,75.690464,8.723879,270.0,top
J8,59.97414,79.830847,0.0,top
R1,39.6,60.4875,90.0,top
R10,16.029537,65.998301,90.0,top
R11,18.296421,65.9875,270.0,top
R12,54.325,16.3,180.0,top
R13,18.1,80.2875,90.0,top
R14,38.63233,45.625556,180.0,top
R15,59.648461,20.998914,270.0,top
R16,26.0,43.2875,90.0,top
R17,37.775,51.6,0.0,top
R18,62.03592,49.902762,270.0,top
R19,41.8,60.3875,90.0,top
R2,19.7,53.9125,270.0,top
R20,37.757504,53.420856,0.0,top
R23,22.940404,73.418729,270.0,top
R24,24.302384,82.183354,180.0,top
R28,26.425,69.4,0.0,top
R29,29.728717,69.429291,180.0,top
R3,28.3,43.8875,270.0,top
R4,30.3125,48.0,180.0,top
R5,23.8125,47.3,180.0,top
R6,18.0,71.3875,270.0,top
R7,43.0875,69.3,0.0,top
R8,36.7125,69.5,180.0,top
R9,44.7,14.8,0.0,top
S1,48.919065,10.651432,270.0,top
S2,57.049761,10.841763,270.0,top
U1,28.173781,15.171445,0.0,top
U2,28.305,56.425,90.0,top
U3,53.780643,21.809357,90.0,top
U4,49.340364,46.721181,180.0,top
U5,28.767963,80.837474,90.0,top
U6,26.704936,73.877514,180.0,top
X1,19.88,24.89,0.0,top
Y1,47.248131,35.682486,180.0,top
