Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C15, C18, C2, C20, C21, C22, C23, C24",0402,10,100n,C307331
"C10, C27, C4",0603,3,100n,C14663
"C11, C14",0603,2,33p,C1663
"C13, C26, C7, C8",0805,4,10u,C15850
"C16, C19",0603,2,2u2,C23630
"C17, C6, C9",0805,3,100n,C49678
C25,0805,1,47p,C14857
"C28, C29",0402,2,4u7,C23733
"C3, C5",CP_EIA-3216-18_Kemet-A,2,10u,C7171
D1,0805,1,LED,C130114
"D2, D3",D_SOD-323,2,1N5819WS,C191023
FB1,0603,1,120Ω@100MHz ,C127301
J1,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,Conn_01x02,C295747
"J11, J12, J13, J4",BNC_Amphenol_B6252HB-NPP3G-50_Horizontal-CJ,4,KH-BNC50-3511,C2837587
"J2, J3",Jack_3.5mm_PJ320D_Horizontal-CJ,2,PJ-320D,C431535
J8,JST_PH_S6B-PH-SM4-TB_1x06-1MP_P2.00mm_Horizontal,1,Conn_01x06,C265405
J9,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle,C165948
Q1,SC-59,1,S8550,C105432
Q2,SC-59,1,S8050,C2150
"R1, R13, R16, R19, R2",0805,5,560R,C28636
"R10, R11, R17, R20, R23, R27, R28, R29, R37, R38",0603,10,1K0,C21190
"R12, R15",0603,2,1K5,C22843
"R14, R18, R26, R31, R32, R33, R34, R40, R41, R9",0603,10,4K7,C23162
"R21, R22",0402,2,5k1,C25905
"R24, R25, R35, R36",0805,4,200R,C17540
"R3, R39, R4",0805,3,47K,C17713
R30,0603,1,2K0,C22975
R5,0805,1,1K0,C17513
R6,0805,1,10K,C17414
R7,0805,1,1R0,C25271
R8,0805,1,100K,C149504
"S1, S2",SW_147873-2,2,147873-2,C266189
SW1,SW_E-Switch_EG1224_SPDT_Angled,1,SW_SPDT,C273395
"SW2, SW3, SW5",LC1258OASP,3,LC1258OASP,C273412
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,AD8397,C578714
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,M24C02-RMN,C83836
U4,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,C15742
"U5, U6",SOT-23-5,2,SN74LVC1G14DBV,C133145
U7,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,C84681
U8,SOT-666,1,USBLC6-2P6,C2827693
U9,SOT-23-5,1,MCP73832-2-OT,C424093
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz ,C13738
