Designator,Footprint,Quantity,Value,LCSC Part #
"ANT1, ANT2, ANT3, ANT4, ANT5, ANT6",U.FL-R-SMT-1,6,U.FL-R-SMT-1,C88374
"C1, C2",0603,2,33pF,C1663
"C10, C13, C8",0603,3,100nF,C14663
"C11, C17, C20, C23, C24, C25, C26, C27, C28, C29, C3, C4, C46, C5, C6, C7",0402,16,100nF,C307331
"C12, C35, C9",0603,3,1nF,C1588
"C14, C15, C21",CP_EIA-3216-18_Kemet-A,3,10uF,C7171
"C16, C22, C36, C37, C40, C45",0603,6,150pF,C1594
"C18, C38, C43",0603,3,330pF,C1664
"C19, C39, C44",0603,3,220pF,C1603
C30,0805,1,47pF,C14857
"C31, C32",0603,2,2.2uF,C23630
"C33, C34",CP_EIA-3528-21_Kemet-B,2,33uF,C128342
"D1, D2, D3, D4",0603,4,LED,C94869
FB1,0603,1,120Ω@100MHz ,C127301
"L1, L2, L3, L4, L5, L6",0805,6,1uF,C1042
Q1,SOT-23,1,2N7002,C8545
"R1, R25, R32, R35, R36, R37, R4",0603,7,100R,C22775
R10,0805,1,200R,C17540
"R11, R13, R7",0603,3,49R9,C23185
"R12, R17, R28, R42, R9",0603,5,1K0,C21190
"R14, R16",0603,2,130K,C22795
R18,0805,1,2R,C17606
R19,0805,1,270R,C17590
"R2, R3, R40, R41",0603,4,4K7,C23162
"R20, R21",0805,2,1K5,C4310
R22,0805,1,330R,C17630
R23,0805,1,20R,C17544
R24,0805,1,22K,C17560
R29,0603,1,270R,C22966
R31,0603,1,22R0,C23345
"R5, R6, R8",0603,3,510R,C23193
"TP1, TP11, TP14, TP15, TP16, TP17, TP2, TP22, TP23, TP24, TP25, TP26, TP3, TP4, TP5, TP9",TestPoint_THTPad_D1.5mm_Drill0.7mm,16,~,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,C15742
U10,SOT-89-3,1,L78L05_SOT89,C71136
"U11, U15",SC70_DCK_TEX,2,TLV3603DCKR,C5213955
"U12, U13, U14",SOT-23-5,3,SN74LVC1G14DBV,C133145
"U2, U3, U4",SOT-23-6,3,ADA4807-1,C2058411
U5,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U7,DPAK172P1054X200-6N,1,BA50DD0WHFP-TR,C509718
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz ,C13738
