Designator,Mid X,Mid Y,Rotation,Layer
ANT1,5.606502,41.674802,90.0,top
ANT2,5.783047,34.851288,90.0,top
ANT3,8.044414,2.132954,180.0,top
ANT4,18.426039,2.391119,180.0,top
ANT5,28.946585,2.328799,180.0,top
ANT6,5.866604,27.975576,90.0,top
C1,1.722771,52.120788,0.0,top
C10,14.414891,9.831819,270.0,top
C11,17.848838,40.966325,90.0,top
C12,21.772139,13.034468,90.0,top
C13,21.728407,9.71849,90.0,top
C14,21.68555,3.147574,90.0,top
C15,21.707084,6.39865,270.0,top
C16,17.525236,7.014918,270.0,top
C17,25.2372,9.762633,270.0,top
C18,29.513018,32.514116,180.0,top
C19,32.262697,13.247265,90.0,top
C2,4.062433,9.615601,270.0,top
C20,32.304432,10.033735,90.0,top
C21,28.239927,6.918733,270.0,top
C22,32.250329,6.4695,270.0,top
C23,32.217632,3.312937,90.0,top
C24,10.174003,29.290013,0.0,top
C25,40.115891,12.23026,180.0,top
C26,60.319793,53.658364,180.0,top
C27,70.988438,59.997649,180.0,top
C28,71.657302,54.355942,180.0,top
C29,71.705376,48.538987,0.0,top
C3,7.024467,6.69546,270.0,top
C30,73.526407,45.633609,180.0,top
C31,78.918971,57.343706,0.0,top
C32,79.765254,39.99297,180.0,top
C33,15.574646,22.735391,180.0,top
C34,16.743977,19.850367,90.0,top
C35,85.306869,39.024508,90.0,top
C36,86.844757,38.603162,270.0,top
C37,85.012754,8.750245,90.0,top
C38,92.813045,54.000576,0.0,top
C39,81.123859,13.238972,270.0,top
C4,10.489678,40.33004,0.0,top
C40,93.408514,51.91203,180.0,top
C41,81.283843,9.177725,270.0,top
C42,53.565618,27.377561,270.0,top
C43,88.145825,10.889756,270.0,top
C44,53.523857,21.881716,90.0,top
C45,45.677092,5.918899,270.0,top
C46,42.058828,8.06593,180.0,top
C5,11.036092,12.930487,90.0,top
C6,11.085539,9.786799,90.0,top
C7,11.216376,3.179541,90.0,top
C8,11.226372,6.606341,270.0,top
C9,13.603673,37.222744,180.0,top
D1,72.539498,38.789986,270.0,top
D10,110.714284,8.0,90.0,top
D11,113.0,8.0,90.0,top
D12,113.0,24.0,0.0,top
D13,113.0,28.0,0.0,top
D14,113.0,12.0,0.0,top
D15,105.0,24.0,0.0,top
D16,109.0,24.0,0.0,top
D17,97.0,24.0,0.0,top
D18,101.0,24.0,0.0,top
D19,97.0,28.0,0.0,top
D2,70.60103,38.840118,270.0,top
D20,101.0,28.0,0.0,top
D21,105.0,28.0,0.0,top
D22,109.0,28.0,0.0,top
D23,113.0,20.0,0.0,top
D24,113.0,16.0,0.0,top
D25,109.0,12.0,0.0,top
D26,109.0,20.0,0.0,top
D27,109.0,16.0,0.0,top
D28,97.0,12.0,0.0,top
D29,97.0,20.0,0.0,top
D3,68.645852,38.773275,270.0,top
D30,97.0,16.0,0.0,top
D31,105.0,12.0,0.0,top
D32,105.0,20.0,0.0,top
D33,105.0,16.0,0.0,top
D34,101.0,12.0,0.0,top
D35,101.0,20.0,0.0,top
D36,101.0,16.0,0.0,top
D4,97.0,8.0,90.0,top
D5,99.285714,8.0,90.0,top
D6,101.571428,8.0,90.0,top
D7,103.857142,8.0,90.0,top
D8,106.142856,8.0,90.0,top
D9,108.42857,8.0,90.0,top
FB1,85.046721,12.743214,270.0,top
J1,6.595622,61.240542,0.0,top
J10,60.381268,11.460295,180.0,top
J11,61.085875,23.190315,180.0,top
J12,101.600617,64.816473,180.0,top
J2,6.030654,50.011516,90.0,top
J3,59.986687,67.825526,270.0,top
J5,90.232184,67.78745,270.0,top
J6,97.125058,57.647302,90.0,top
J7,97.125058,53.871244,90.0,top
J8,114.617382,54.975682,90.0,top
J9,93.24887,37.029778,90.0,top
L1,9.161289,10.973382,270.0,top
L2,9.271628,6.3024,90.0,top
L3,19.688337,10.61027,270.0,top
L4,19.688114,6.849645,90.0,top
L5,30.248355,10.406174,270.0,top
L6,30.145942,6.377932,90.0,top
Q1,71.692256,34.213882,0.0,top
Q2,81.438657,34.186189,0.0,top
Q3,71.623123,30.105643,0.0,top
Q4,81.512294,30.294041,0.0,top
Q5,71.693134,26.042625,0.0,top
Q6,81.495201,26.081065,0.0,top
Q7,71.775416,21.974475,0.0,top
Q8,81.431924,22.166411,0.0,top
R1,6.340237,45.839939,180.0,top
R10,27.406216,9.700083,0.0,top
R11,26.564443,6.896427,270.0,top
R12,37.154599,64.285857,180.0,top
R13,37.132948,67.627815,0.0,top
R14,41.296964,67.689392,0.0,top
R15,12.851121,28.469236,270.0,top
R16,10.143722,27.563954,180.0,top
R17,45.028769,67.696103,0.0,top
R18,41.993941,10.387743,270.0,top
R19,36.09788,7.176129,270.0,top
R2,6.278842,9.539037,0.0,top
R20,37.750387,5.483316,270.0,top
R21,47.228494,5.332011,270.0,top
R22,50.980111,9.602595,180.0,top
R23,60.397708,56.761733,90.0,top
R24,60.684744,50.386645,270.0,top
R25,50.935021,7.738886,0.0,top
R26,50.950051,5.980386,180.0,top
R27,70.971531,61.749975,0.0,top
R28,71.937887,58.302069,180.0,top
R29,70.598845,42.082038,90.0,top
R3,5.334017,6.661703,270.0,top
R30,72.522354,42.082038,90.0,top
R31,68.679274,42.065327,90.0,top
R32,83.306125,37.94977,90.0,top
R33,68.039217,35.080798,0.0,top
R34,74.788758,34.416899,90.0,top
R35,77.669257,35.235024,0.0,top
R36,84.602815,34.50337,90.0,top
R37,67.879753,31.191119,0.0,top
R38,74.915276,30.338639,90.0,top
R39,77.801015,31.241734,0.0,top
R4,10.556368,42.856649,180.0,top
R40,84.537471,30.471299,90.0,top
R41,67.852273,27.01413,0.0,top
R42,74.915276,26.326531,90.0,top
R43,77.784563,27.12883,0.0,top
R44,84.657918,26.279741,90.0,top
R45,67.880941,22.919581,0.0,top
R46,74.942757,22.259462,90.0,top
R47,77.783557,23.132006,0.0,top
R48,84.58565,22.401346,90.0,top
R49,112.386567,33.453933,90.0,top
R5,9.194388,34.092024,270.0,top
R50,110.64398,33.438886,90.0,top
R51,108.940061,33.411839,90.0,top
R52,105.445306,33.534634,90.0,top
R53,107.263189,33.411839,90.0,top
R54,76.431887,41.297645,0.0,top
R6,16.626288,9.775444,0.0,top
R7,15.675842,6.964918,270.0,top
R8,41.320448,64.237259,180.0,top
R9,45.608387,64.275564,180.0,top
RV1,29.981661,66.536752,90.0,top
U1,5.62875,12.499404,180.0,top
U10,83.015261,48.658615,0.0,top
U11,75.32153,10.572915,180.0,top
U12,44.511459,24.58542,180.0,top
U2,15.021947,41.510769,270.0,top
U3,12.95892,34.550809,0.0,top
U4,16.000729,12.668311,180.0,top
U5,26.854626,12.641845,180.0,top
U6,39.183176,9.931368,0.0,top
U7,40.670688,5.616519,0.0,top
U8,47.006379,8.521168,180.0,top
U9,11.51088,21.229676,180.0,top
X1,39.649545,55.540681,270.0,top
Y1,40.597009,47.69069,0.0,top
Y2,71.756396,51.420883,0.0,top
