Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C31, C32, C33, C36, C38, C39, C50",0402,10,100n,C307331
"C28, C29",0603,2,33p,C1663
"C34, C41, C43",CP_EIA-3216-18_Kemet-A,3,10u,C7171
"C35, C40",0603,2,2u2,C23630
C4,0603,1,100n,C14663
"C5, C6",0603,2,10u,C19702
J2,JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal,1,Conn_01x03,C265101
J4,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle,C165948
J8,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,Conn_01x02,C295747
"R1, R2",0603,2,330R,C23138
"R3, R32, R4, R40",0603,4,4K7,C23162
"R37, R38",0603,2,5k1,C23186
"R39, R51, R55, R69, R71",0603,5,1K0,C21190
R5,0603,1,270K,C22966
R6,0603,1,30K,C22984
"S1, S2",SW_147873-2,2,147873-2,C266189
"U1, U2, U3",SOT-23-5,3,SN74LVC1G14DBV,C133145
U10,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,C15742
U11,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U14,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,C84681
U15,SOT-666,1,USBLC6-2P6,C2827693
U4,TI_SO-PowerPAD-8,1,TPS7A7001DDA,C60719
U9,SOT-89-3,1,L78L05_SOT89,C71136
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz ,C13738
