Designator,Mid X,Mid Y,Rotation,Layer
C1,59.705588,85.852554,180.0,top
C2,65.887781,77.679781,180.0,top
C28,76.898597,63.988047,0.0,top
C29,77.029623,57.69595,180.0,top
C3,60.752504,78.76752,180.0,top
C31,83.918971,67.343706,0.0,top
C32,84.765254,49.99297,180.0,top
C33,38.436234,40.494285,0.0,top
C34,37.266903,43.379309,270.0,top
C35,90.306869,49.024508,90.0,top
C36,91.844757,48.603162,270.0,top
C38,97.813045,64.000576,0.0,top
C39,86.123859,23.238972,270.0,top
C4,80.632836,85.481748,0.0,top
C40,98.408514,61.91203,180.0,top
C41,86.283843,19.177725,270.0,top
C43,93.145825,20.889756,270.0,top
C5,44.49975,26.651267,270.0,top
C50,19.8,37.02,270.0,top
C6,55.203788,26.656127,270.0,top
J2,76.1,39.8,90.0,top
J4,5.1,42.0,270.0,top
J8,93.75,31.8,270.0,top
R1,62.983395,82.294954,0.0,top
R2,69.794684,78.302993,270.0,top
R3,98.198362,84.948777,0.0,top
R32,88.306125,47.94977,90.0,top
R37,11.725,37.1,0.0,top
R38,12.325,45.075,270.0,top
R39,14.025,45.075,90.0,top
R4,80.64597,83.501942,180.0,top
R40,84.325,85.5,0.0,top
R5,58.136179,29.25869,180.0,top
R51,30.825,47.6,0.0,top
R55,30.825,45.9,180.0,top
R6,55.571715,30.136179,90.0,top
R69,55.325,18.8,0.0,top
R71,15.3,36.4,0.0,top
S1,91.203645,84.968626,180.0,top
S2,73.530935,84.499839,180.0,top
U1,60.118209,76.029926,180.0,top
U10,88.015261,58.658615,270.0,top
U11,80.32153,20.572915,0.0,top
U14,20.445,42.125,0.0,top
U15,12.625,42.1,90.0,top
U2,59.087083,83.27502,180.0,top
U3,65.315019,75.064644,180.0,top
U4,49.778467,28.115834,270.0,top
U9,42.0,42.0,180.0,top
Y2,76.976566,60.750848,90.0,top
