Designator,Mid X,Mid Y,Rotation,Layer
C1,18.8,84.5,0.0,top
C10,29.026554,13.384049,270.0,top
C11,95.718175,21.12301,180.0,top
C12,36.383802,16.586698,90.0,top
C13,36.34007,13.27072,90.0,top
C14,36.297213,6.699804,90.0,top
C15,36.318747,9.95088,270.0,top
C16,32.136899,10.567148,270.0,top
C17,39.848863,13.314863,270.0,top
C18,30.439809,49.375866,180.0,top
C19,46.87436,16.799495,90.0,top
C2,19.098835,12.545552,270.0,top
C20,46.916095,13.585965,90.0,top
C21,42.85159,10.470963,270.0,top
C22,46.861992,10.02173,270.0,top
C23,46.829295,6.865167,90.0,top
C24,31.225,43.6,0.0,top
C25,54.415157,16.709036,180.0,top
C26,62.820629,85.126605,270.0,top
C27,75.714945,75.983692,180.0,top
C28,76.898597,63.988047,0.0,top
C29,77.029623,57.69595,180.0,top
C3,22.060869,9.625411,270.0,top
C30,78.526407,55.633609,180.0,top
C31,83.918971,67.343706,0.0,top
C32,84.765254,49.99297,180.0,top
C33,39.006607,40.618239,0.0,top
C34,85.976411,16.225349,270.0,top
C35,90.306869,49.024508,90.0,top
C36,91.844757,48.603162,270.0,top
C37,89.876074,15.284944,90.0,top
C38,97.813045,64.000576,0.0,top
C39,85.987179,19.773671,270.0,top
C4,95.727851,14.13054,180.0,top
C40,98.408514,61.91203,180.0,top
C41,58.133748,30.139452,270.0,top
C42,58.10614,26.332754,270.0,top
C43,37.838736,42.954265,270.0,top
C45,60.288755,9.471129,270.0,top
C46,56.670491,11.61816,180.0,top
C47,82.531099,71.02625,270.0,top
C48,66.523736,7.872455,180.0,top
C49,50.680486,7.798461,270.0,top
C5,26.072494,15.860438,90.0,top
C50,19.8,37.02,270.0,top
C51,19.8,21.42,270.0,top
C52,24.569736,22.343383,90.0,top
C53,21.9,32.9,180.0,top
C54,17.4,26.9,0.0,top
C55,74.0,63.58,90.0,top
C56,22.27927,83.236527,180.0,top
C57,23.061207,69.094379,180.0,top
C58,71.987657,85.788536,90.0,top
C6,26.121941,12.71675,90.0,top
C60,74.370769,34.339624,90.0,top
C61,87.072889,34.462737,90.0,top
C62,72.453121,34.312804,90.0,top
C63,79.927139,28.951057,90.0,top
C64,82.416793,34.388169,90.0,top
C65,84.693812,34.4058,90.0,top
C7,26.472691,6.440833,180.0,top
C8,26.262774,9.536292,270.0,top
C9,55.699557,44.314272,180.0,top
D4,18.412273,60.984385,270.0,top
D5,117.8,42.2,270.0,top
FB1,89.910041,19.277913,270.0,top
J1,5.701294,72.56,90.0,top
J10,108.55,80.0,90.0,top
J11,108.55,64.0,90.0,top
J13,10.45,28.0,270.0,top
J2,114.0,50.0,270.0,top
J3,10.45,12.0,270.0,top
J4,3.6,42.0,270.0,top
J7,108.55,27.0,90.0,top
J9,10.45,57.0,270.0,top
L1,24.197691,13.903333,270.0,top
L2,24.30803,9.232351,90.0,top
L3,34.3,14.1625,270.0,top
L4,34.299777,10.401875,90.0,top
L5,44.860018,13.958404,270.0,top
L6,44.757605,9.930162,90.0,top
L7,78.087303,38.061888,0.0,top
Q1,97.5,50.3,270.0,top
Q10,71.825,48.225,0.0,top
Q9,72.578346,51.95044,0.0,top
R1,18.884858,69.546031,270.0,top
R10,42.017879,13.252313,0.0,top
R11,41.176106,10.448657,270.0,top
R12,51.18625,80.846975,180.0,top
R13,51.164599,84.188933,0.0,top
R14,55.328615,84.25051,0.0,top
R15,30.31,39.531543,270.0,top
R16,30.293539,34.598313,270.0,top
R17,59.06042,84.257221,0.0,top
R18,56.605604,13.939973,270.0,top
R19,50.709543,10.728359,270.0,top
R2,21.315244,12.468988,0.0,top
R20,52.36205,9.035546,270.0,top
R21,61.840157,8.884241,270.0,top
