Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C17, C18, C2, C25, C26, C30, C31, C32, C33, C36, C38, C39, C45, C46, C47, C48, C49, C50, C51, C52, C53, C55, C56, C57, C58, C9",0402,29,100n,C307331
"C12, C14, C19, C23, C5, C7",0603,6,150p,C1594
"C13, C20, C8",0603,3,330p,C1664
"C15, C22, C6",0603,3,220p,C1603
"C16, C21, C3",0603,3,1n0,C1588
"C24, C27, C37, C54, C63",0603,5,100n,C14663
"C28, C29",0603,2,33p,C1663
"C34, C41",CP_EIA-3216-18_Kemet-A,2,10u,C7171
"C35, C40",0603,2,2u2,C23630
C4,0603,1,47p,C1671
"C42, C44",CP_EIA-3528-21_Kemet-B,2,33u,C128342
"C60, C62",0603,2,10u,C96446
"C61, C64, C65",0805,3,22u,C45783
"D1, D2",D_SMA,2,SS34,C8678
D4,D_SOD-523,1,SDM20U30-7,C91235
D5,LED_RGB_MHS110FRGBCT,1,LED_ABGR,C496820
FB1,0603,1,120Ω@100MHz ,C127301
J1,RJ45_Amphenol_RJHSE5380,1,RJ45,C464586
"J10, J11, J13, J3, J7, J9",BNC_Amphenol_B6252HB-NPP3G-50_Horizontal-CJ,6,KH-BNC50-3511,C2837587
J14,BarrelJack_Horizontal,1,DC-005B-2.5A-2.0,C319132
J2,JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal,1,Conn_01x03,C265101
J4,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle,C165948
"L1, L2, L3, L4, L5, L6",0805,6,1uH,C1042
L7,L_Coilcraft_XAL4020-XXX,1,1.5uH,C3033018
"Q1, Q10, Q9",SOT-23,3,2N7002,C8545
"R1, R46, R47",0603,3,100R,C22775
"R10, R2, R6",0603,3,510R,C23193
"R11, R3, R7",0603,3,49R9,C23185
"R12, R13, R58, R59",0603,4,1K5,C22843
R14,0603,1,330R,C23138
"R15, R16",1206,2,100R 250mW,C17901
R17,0603,1,20R,C22950
"R18, R21, R45",0603,3,130K,C22795
"R19, R20, R22, R24, R29, R30, R39, R41, R43, R44, R49, R5, R51, R52, R54, R55, R56, R57, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R71, R72, R80",0603,31,1K0,C21190
R23,0603,1,22K,C31850
"R25, R48, R8",0603,3,270R,C22966
R26,0603,1,22R0,C23345
"R27, R28, R76, R77, R78",0603,5,47K,C25819
R31,0603,1,120K,C25808
"R32, R33, R34, R36, R40",0603,5,4K7,C23162
R35,0603,1,3K3,C22978
"R37, R38",0603,2,5K1,C23186
R4,0603,1,200R,C8218
"R42, R79, R81, R82",1206,4,0R1,C25334
R50,0603,1,10K,C25804
"R53, R75",0603,2,12K,C22790
R70,0603,1,150R,C22808
"R73, R74",0603,2,47R,C23182
R9,0603,1,2R0,C22977
"S1, S3",SW_147873-2,2,147873-2,C266189
SW1,PBH4UOANAGX,1,SW_Push_4PDT,C273424
"U1, U4, U5",SOT-23-6,3,ADA4807-1,C2058411
U10,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,C15742
U11,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U12,DPAK172P1054X200-6N,1,BA50DD0WHFP-TR,C509718
U13,SOIC-8_3.9x4.9mm_P1.27mm,1,M24C02-RMN,C83836
U14,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,C84681
U15,SOT-666,1,USBLC6-2P6,C2827693
"U16, U6, U8",SC70_DCK_TEX,3,TLV3603DCKR,C5213955
"U17, U19, U2, U20, U21, U3, U7",SOT-23-5,7,SN74LVC1G14DBV,C133145
U18,SOT-563,1,TMP112AIDRLR,C28927
U23,Texas_S-PWSON-N10_ThermalVias,1,TPS63060,C48567
U9,SOT-89-3,1,L78L05_SOT89,C71136
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz ,C13738
