Designator,Mid X,Mid Y,Rotation,Layer
ANT1,9.856502,51.674802,270.0,top
ANT2,10.033047,44.851288,270.0,top
ANT3,13.044414,11.382954,0.0,top
ANT4,23.426039,11.641119,0.0,top
ANT5,33.946585,11.578799,0.0,top
C1,6.722771,62.120788,0.0,top
C10,19.414891,19.831819,270.0,top
C11,22.848838,50.966325,90.0,top
C12,26.772139,23.034468,90.0,top
C13,26.728407,19.71849,90.0,top
C14,26.68555,13.147574,90.0,top
C15,26.707084,16.39865,270.0,top
C16,22.525236,17.014918,270.0,top
C17,30.2372,19.762633,270.0,top
C18,34.513018,42.514116,180.0,top
C19,37.262697,23.247265,90.0,top
C2,9.062433,19.615601,270.0,top
C20,37.304432,20.033735,90.0,top
C21,33.239927,16.918733,270.0,top
C22,37.250329,16.4695,270.0,top
C23,37.217632,13.312937,90.0,top
C24,15.174003,39.290013,0.0,top
C25,45.115891,22.23026,180.0,top
C26,65.319793,63.658364,180.0,top
C27,75.714945,75.983692,180.0,top
C28,76.898597,63.988047,0.0,top
C29,77.029623,57.69595,180.0,top
C3,12.024467,16.69546,270.0,top
C30,78.526407,55.633609,180.0,top
C31,83.918971,67.343706,0.0,top
C32,84.765254,49.99297,180.0,top
C33,20.574646,32.735391,180.0,top
C34,21.743977,29.850367,90.0,top
C35,90.306869,49.024508,90.0,top
C36,91.844757,48.603162,270.0,top
C37,90.012754,18.750245,90.0,top
C38,97.813045,64.000576,0.0,top
C39,86.123859,23.238972,270.0,top
C4,15.489678,50.33004,0.0,top
C40,98.408514,61.91203,180.0,top
C41,86.283843,19.177725,270.0,top
C42,58.565618,37.377561,270.0,top
C43,93.145825,20.889756,270.0,top
C44,58.523857,31.881716,90.0,top
C45,50.677092,15.918899,270.0,top
C46,47.058828,18.06593,180.0,top
C47,82.531099,71.02625,270.0,top
C48,56.912073,14.320225,180.0,top
C49,41.068823,14.246231,270.0,top
C5,16.036092,22.930487,90.0,top
C6,16.085539,19.786799,90.0,top
C7,16.216376,13.179541,90.0,top
C8,16.226372,16.606341,270.0,top
C9,18.603673,47.222744,180.0,top
D1,80.057206,48.750768,270.0,top
D2,78.009902,48.757188,270.0,top
D3,76.054724,48.690345,270.0,top
FB1,90.046721,22.743214,270.0,top
J1,8.226294,71.821541,90.0,top
J10,108.407239,29.602037,90.0,top
J11,108.407239,78.854714,90.0,top
J12,78.241305,36.134826,90.0,top
J13,108.407239,62.437155,90.0,top
J2,10.996124,61.092844,90.0,top
J3,108.407239,46.019596,90.0,top
J4,78.399082,12.945444,270.0,top
J5,95.232184,77.78745,270.0,top
J6,88.961222,38.964228,90.0,top
J7,88.961222,43.184935,90.0,top
J8,94.201598,31.757353,270.0,top
J9,108.407239,13.184475,90.0,top
L1,14.161289,20.973382,270.0,top
L2,14.271628,16.3024,90.0,top
L3,24.688337,20.61027,270.0,top
L4,24.688114,16.849645,90.0,top
L5,35.248355,20.406174,270.0,top
L6,35.145942,16.377932,90.0,top
Q10,72.563857,48.286905,180.0,top
Q9,72.578346,51.95044,180.0,top
R1,7.641751,60.294365,180.0,top
R10,32.406216,19.700083,0.0,top
R11,31.564443,16.896427,270.0,top
R12,42.154599,74.285857,180.0,top
R13,42.132948,77.627815,0.0,top
R14,46.296964,77.689392,0.0,top
R15,17.851121,38.469236,270.0,top
R16,15.143722,37.563954,180.0,top
R17,50.028769,77.696103,0.0,top
R18,46.993941,20.387743,270.0,top
R19,41.09788,17.176129,270.0,top
R2,11.278842,19.539037,0.0,top
R20,42.750387,15.483316,270.0,top
R21,52.228494,15.332011,270.0,top
R22,55.980111,19.602595,180.0,top
R23,65.397708,66.761733,90.0,top
R24,65.684744,60.386645,270.0,top
R25,55.935021,17.738886,0.0,top
R26,55.950051,15.980386,180.0,top
R27,75.679967,74.318113,0.0,top
R28,80.146386,71.396166,270.0,top
R29,78.007717,51.999108,90.0,top
R3,10.334017,16.661703,270.0,top
R30,80.040062,52.04282,90.0,top
R31,76.088146,51.982397,90.0,top
R32,88.306125,47.94977,90.0,top
R33,23.775192,57.543654,90.0,top
R34,22.077706,57.553196,270.0,top
R35,16.098636,57.531185,90.0,top
R36,18.646243,57.543654,270.0,top
R4,15.556368,52.856649,180.0,top
R5,14.194388,44.092024,270.0,top
R54,81.945154,50.842046,270.0,top
R58,89.687901,75.077265,180.0,top
R59,85.712605,75.206884,180.0,top
R6,21.626288,19.775444,0.0,top
R60,51.932609,22.872867,270.0,top
R61,53.867796,22.877755,90.0,top
R62,94.396305,66.906739,270.0,top
R63,20.948255,41.801922,180.0,top
R64,20.982701,40.102586,180.0,top
R7,20.675842,16.964918,270.0,top
R8,46.320448,74.237259,180.0,top
R9,50.608387,74.275564,180.0,top
S1,74.100558,69.320689,180.0,top
S2,71.944069,61.778372,270.0,top
U1,10.62875,22.499404,90.0,top
U10,88.015261,58.658615,270.0,top
U11,80.32153,20.572915,0.0,top
U12,51.011459,34.58542,180.0,top
U13,87.924657,71.536893,90.0,top
U2,20.021947,51.510769,90.0,top
U3,17.95892,44.550809,180.0,top
U4,21.000729,22.668311,90.0,top
U5,31.854626,22.641845,90.0,top
U6,44.183176,19.931368,0.0,top
U7,45.670688,15.616519,180.0,top
U8,52.006379,18.521168,180.0,top
U9,17.01088,31.229676,0.0,top
Y1,45.597009,57.69069,0.0,top
Y2,76.976566,60.750848,90.0,top
