Designator,Mid X,Mid Y,Rotation,Layer
C1,18.8,84.5,0.0,top
C11,13.59247,61.109676,90.0,top
C18,33.5,49.8,180.0,top
C24,31.225,43.6,0.0,top
C25,54.415157,16.709036,180.0,top
C26,65.319793,63.658364,180.0,top
C27,75.714945,75.983692,180.0,top
C28,76.898597,63.988047,0.0,top
C29,77.029623,57.69595,180.0,top
C30,78.526407,55.633609,180.0,top
C31,83.918971,67.343706,0.0,top
C32,84.765254,49.99297,180.0,top
C33,38.436234,40.494285,0.0,top
C34,37.266903,43.379309,270.0,top
C35,90.306869,49.024508,90.0,top
C36,91.844757,48.603162,270.0,top
C37,89.876074,15.284944,90.0,top
C38,97.813045,64.000576,0.0,top
C39,85.987179,19.773671,270.0,top
C4,6.6,61.1,90.0,top
C40,98.408514,61.91203,180.0,top
C41,86.147163,15.712424,270.0,top
C42,59.012691,30.892141,270.0,top
C43,93.009145,17.424455,270.0,top
C44,58.97093,25.396296,90.0,top
C45,60.288755,9.471129,270.0,top
C46,56.670491,11.61816,180.0,top
C47,82.531099,71.02625,270.0,top
C48,66.523736,7.872455,180.0,top
C49,50.680486,7.798461,270.0,top
C50,19.8,37.02,270.0,top
C51,19.8,21.42,270.0,top
C52,24.1,22.32,90.0,top
C53,21.9,32.9,180.0,top
C54,17.4,26.9,0.0,top
C56,25.55866,77.040447,270.0,top
C57,23.061207,69.094379,180.0,top
C58,69.611579,75.17538,270.0,top
C59,70.164187,80.458548,0.0,top
C9,53.92,44.309188,180.0,top
D4,18.85529,61.986925,270.0,top
D5,0.25,62.0,270.0,top
FB1,89.910041,19.277913,270.0,top
J1,8.226294,71.821541,90.0,top
J10,108.407239,29.602037,90.0,top
J14,14.0,12.0,0.0,top
J2,95.581043,39.054553,270.0,top
J4,5.1,42.0,270.0,top
J7,10.5,27.0,270.0,top
J8,95.861983,27.595957,270.0,top
J9,108.407239,13.184475,90.0,top
Q1,97.5,50.3,90.0,top
Q10,71.825,48.225,180.0,top
Q9,72.578346,51.95044,180.0,top
R1,18.884858,69.546031,270.0,top
R12,42.145135,80.796465,180.0,top
R13,42.123484,84.138423,0.0,top
R14,46.2875,84.2,0.0,top
R15,33.902118,42.779223,270.0,top
R16,31.194719,41.873941,180.0,top
R17,50.019305,84.206711,0.0,top
R18,56.605604,13.939973,270.0,top
R19,50.709543,10.728359,270.0,top
R20,52.36205,9.035546,270.0,top
R21,61.840157,8.884241,270.0,top
R22,65.591774,13.154825,180.0,top
R23,65.397708,66.761733,90.0,top
R24,65.0,60.3,270.0,top
R25,65.546684,11.291116,0.0,top
R26,65.561714,9.532616,180.0,top
R27,75.679967,74.318113,0.0,top
R28,80.146386,71.396166,270.0,top
R32,88.306125,47.94977,90.0,top
R33,19.0,82.0,180.0,top
R34,19.025,80.1,180.0,top
R35,17.789975,65.358945,90.0,top
R36,20.695193,62.215722,90.0,top
R37,11.725,37.1,0.0,top
R38,12.325,45.075,270.0,top
R39,14.025,45.075,90.0,top
R4,7.3,63.55,180.0,top
R40,84.325,85.5,0.0,top
R41,89.575062,85.48927,0.0,top
R42,72.20829,85.508935,180.0,top
R43,17.4,23.5,0.0,top
R44,18.1,20.925,270.0,top
R45,21.5,20.125,270.0,top
R46,17.4,25.2,0.0,top
R47,19.9,26.4,90.0,top
R48,19.507746,75.661108,270.0,top
R49,23.964422,75.97362,90.0,top
R5,49.510715,41.178468,270.0,top
R50,59.9,19.2125,90.0,top
R51,30.825,47.6,0.0,top
R52,22.782878,61.910671,90.0,top
R54,81.945154,50.842046,270.0,top
R55,30.825,45.9,180.0,top
R56,37.525,46.8,0.0,top
R57,58.3,8.875,90.0,top
R58,89.687901,75.077265,180.0,top
R59,85.712605,75.206884,180.0,top
R60,61.8,16.425097,270.0,top
R61,63.479459,16.429985,90.0,top
R62,94.396305,66.906739,270.0,top
R63,59.150247,40.737253,180.0,top
R64,59.184693,39.037917,180.0,top
R65,84.325,77.2,0.0,top
R66,91.225,77.2,180.0,top
R67,87.6,77.2,0.0,top
R68,95.375,77.2,180.0,top
R69,55.325,18.8,0.0,top
R70,2.975,59.1,180.0,top
R71,15.3,36.4,0.0,top
R72,75.025,68.8,0.0,top
R73,3.45,61.175,180.0,top
R74,3.45,62.975,0.0,top
R8,46.310984,80.747867,180.0,top
R9,50.598923,80.786172,180.0,top
S1,77.92064,84.065318,180.0,top
S3,96.1,84.3,0.0,top
SW1,16.75,53.5,180.0,top
U10,88.015261,58.658615,270.0,top
U11,80.18485,17.107614,0.0,top
U12,51.458532,28.1,180.0,top
U13,87.924657,71.536893,90.0,top
U14,20.445,42.125,0.0,top
U15,12.625,42.1,90.0,top
U16,21.950001,23.67605,270.0,top
U17,24.3,29.7,270.0,top
U19,23.768639,80.421283,270.0,top
U2,10.765579,61.65412,90.0,top
U20,22.410462,66.607364,180.0,top
U21,70.882818,78.063111,180.0,top
U22,70.798391,82.783334,180.0,top
U3,53.275247,41.637253,180.0,top
U6,53.794839,13.483598,0.0,top
U7,55.282351,9.168749,180.0,top
U8,61.618042,12.073398,180.0,top
U9,42.0,42.0,180.0,top
Y2,76.976566,60.750848,90.0,top
