Designator,Footprint,Quantity,Value,LCSC Part #
"C27, C37, C63",0603,3,100n,C14663
"C30, C31, C32, C33, C36, C38, C39, C50, C58, C59",0402,10,100n,C307331
"C34, C41, C43",CP_EIA-3216-18_Kemet-A,3,10u,C7171
"C42, C44",CP_EIA-3528-21_Kemet-B,2,33u,C128342
"C60, C62",0603,2,10uF,C96446
"C61, C64, C65",0805,3,22uF,C45783
C66,0603,1,10pF,C1634
FB1,0603,1,120Ω@100MHz ,C127301
J4,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle,C165948
J8,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,Conn_01x02,C295747
L7,L_Coilcraft_XAL4020-XXX,1,1.5uH,C3033018
"R27, R28",0603,2,4K7,C23162
"R29, R30, R39, R51, R55, R71",0603,6,1K0,C21190
R31,0603,1,120K,
"R37, R38",0603,2,5k1,C23186
"R41, R42",0603,2,330R,C23138
"R53, R75",0603,2,12K,C22790
"S1, S3",SW_147873-2,2,147873-2,C266189
U11,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U12,DPAK172P1054X200-6N,1,BA50DD0WHFP-TR,C509718
U14,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,C84681
U15,SOT-666,1,USBLC6-2P6,C2827693
U21,SOT-23-5,1,74LVC1G86,C402161
U22,SOT-23-5,1,74LVC1G00,C7826
U23,Texas_S-PWSON-N10_ThermalVias,1,TPS63060,C48567
U9,SOT-89-3,1,L78L05_SOT89,C71136
