Designator,Mid X,Mid Y,Rotation,Layer
C32,67.653491,42.696886,270.0,top
C36,67.96492,17.82515,0.0,top
C38,64.029744,8.528853,270.0,top
D1,52.0,31.7,180.0,top
D10,60.133334,8.2125,90.0,top
D11,44.044444,8.2125,90.0,top
D12,44.0,24.0,0.0,top
D13,44.0,28.0,0.0,top
D14,44.0,12.0,0.0,top
D15,36.0,24.0,0.0,top
D16,40.0,24.0,0.0,top
D17,28.0,24.0,0.0,top
D18,32.0,24.0,0.0,top
D19,28.0,28.0,0.0,top
D2,60.0,31.7,180.0,top
D20,32.0,28.0,0.0,top
D21,36.0,28.0,0.0,top
D22,40.0,28.0,0.0,top
D23,44.0,20.0,0.0,top
D24,44.0,16.0,0.0,top
D25,40.0,12.0,0.0,top
D26,40.0,20.0,0.0,top
D27,40.0,16.0,0.0,top
D28,28.0,12.0,0.0,top
D29,28.0,20.0,0.0,top
D3,56.0,31.7,180.0,top
D30,28.0,16.0,0.0,top
D31,36.0,12.0,0.0,top
D32,36.0,20.0,0.0,top
D33,36.0,16.0,0.0,top
D34,32.0,12.0,0.0,top
D35,32.0,20.0,0.0,top
D36,32.0,16.0,0.0,top
D37,56.0,12.0,0.0,top
D38,52.0,12.0,0.0,top
D39,48.0,12.0,0.0,top
D4,48.066666,8.2125,90.0,top
D40,56.0,24.0,0.0,top
D41,52.0,24.0,0.0,top
D42,48.0,24.0,0.0,top
D43,56.0,28.0,0.0,top
D44,52.0,28.0,0.0,top
D45,48.0,28.0,0.0,top
D46,56.0,20.0,0.0,top
D47,52.0,20.0,0.0,top
D48,48.0,20.0,0.0,top
D49,56.0,16.0,0.0,top
D5,31.977778,8.2125,90.0,top
D50,52.0,16.0,0.0,top
D51,48.0,16.0,0.0,top
D52,23.88492,23.92515,0.0,top
D53,23.88492,27.92515,0.0,top
D54,23.88492,11.92515,0.0,top
D55,23.88492,19.92515,0.0,top
D56,23.88492,15.92515,0.0,top
D57,60.08492,24.02765,0.0,top
D58,60.08492,28.02515,0.0,top
D59,60.08492,12.035148,0.0,top
D6,52.088888,8.2125,90.0,top
D60,60.08492,20.03015,0.0,top
D61,60.08492,16.03265,0.0,top
D62,27.955556,8.2125,90.0,top
D63,23.933334,8.2125,90.0,top
D7,36.0,8.2125,90.0,top
D8,56.11111,8.2125,90.0,top
D9,40.022222,8.2125,90.0,top
Q1,12.673195,16.922999,180.0,top
Q10,70.639673,27.907897,0.0,top
Q11,70.630721,20.456074,0.0,top
Q12,14.2,38.1,180.0,top
Q13,16.6375,42.55,180.0,top
Q2,12.438657,34.186189,180.0,top
Q3,12.604062,12.81476,180.0,top
Q4,12.512294,30.294041,180.0,top
Q5,12.674073,8.751742,180.0,top
Q6,12.495201,26.081065,180.0,top
Q7,12.756355,4.683592,180.0,top
Q8,12.431924,22.166411,180.0,top
Q9,70.625184,24.244362,0.0,top
R1,33.818254,37.20015,90.0,top
R2,50.118254,37.20015,90.0,top
R29,67.621336,25.067404,270.0,top
R3,10.2875,38.95,0.0,top
R30,67.621336,21.267404,270.0,top
R31,67.621336,28.767404,270.0,top
R33,9.020156,17.789915,0.0,top
R34,15.769697,17.126016,90.0,top
R35,8.669257,35.235024,0.0,top
R36,15.602815,34.50337,90.0,top
R37,8.860692,13.900236,0.0,top
R38,15.896215,13.047756,90.0,top
R39,8.801015,31.241734,0.0,top
R4,17.5625,38.175,90.0,top
R40,15.537471,30.471299,90.0,top
R41,8.833212,9.723247,0.0,top
R42,15.896215,9.035648,90.0,top
R43,8.784563,27.12883,0.0,top
R44,15.657918,26.279741,90.0,top
R45,8.86188,5.628698,0.0,top
R46,15.923696,4.968579,90.0,top
R47,8.783557,23.132006,0.0,top
R48,15.58565,22.401346,90.0,top
R49,42.873809,37.20015,90.0,top
R5,12.6,43.4,0.0,top
R50,41.062698,37.20015,90.0,top
R51,39.251587,37.20015,90.0,top
R52,35.629365,37.20015,90.0,top
R53,37.440476,37.20015,90.0,top
R55,48.307142,37.20015,90.0,top
R56,46.496031,37.20015,90.0,top
R57,44.68492,37.20015,90.0,top
R6,19.9,42.475,90.0,top
