Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C30, C31, C32, C36, C38, C39, C45, C47, C48, C50, C56, C57, C58",0402,15,100n,C307331
C27,0603,1,100n,C14663
"C28, C29",0603,2,33p,C1663
"C35, C40",0603,2,2u2,C23630
C4,0603,1,47p,C1671
C41,CP_EIA-3216-18_Kemet-A,1,10u,C7171
C42,CP_EIA-3528-21_Kemet-B,1,33u,C128342
D4,D_SOD-123,1,B5819W SL,C8598
D5,LED_RGB_MHS110FRGBCT,1,LED_ABGR,C496820
J1,RJ45_Amphenol_RJHSE5380,1,RJ45,C464586
J10,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal-CJ,1,KH-BNC50-3511,C2837587
J4,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle,C165948
"Q1, Q10, Q9",SOT-23,3,2N7002,C8545
R1,0603,1,100R,C22775
"R2, R22, R3, R41, R5, R51, R52, R54, R55, R57, R6, R60, R61, R62",0603,14,1K0,C21190
R21,0603,1,130K,C22795
"R25, R48",0603,2,270R,C22966
R26,0603,1,22R0,C23345
"R27, R28, R76, R77, R78",0603,5,47K,C25819
"R32, R33, R34, R36",0603,4,4K7,C23162
R35,0603,1,3K3,C22978
"R37, R38",0603,2,5K1,C23186
R4,0603,1,200R,C8218
R50,0603,1,10K,C25804
"R58, R59",0603,2,1K5,C22843
R70,0603,1,150R,C22808
"R73, R74",0603,2,47R,C23182
U10,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,C15742
U11,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U13,SOIC-8_3.9x4.9mm_P1.27mm,1,M24C02-RMN,C83836
U14,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,C84681
U15,SOT-666,1,USBLC6-2P6,C2827693
"U19, U2, U20, U21",SOT-23-5,4,SN74LVC1G14DBV,C133145
U8,SC70_DCK_TEX,1,TLV3603DCKR,C5213955
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz ,C13738
