Designator,Mid X,Mid Y,Rotation,Layer
C1,18.8,84.5,0.0,top
C11,95.718175,21.12301,180.0,top
C27,75.714945,75.983692,180.0,top
C28,76.898597,63.988047,0.0,top
C29,77.029623,57.69595,180.0,top
C30,78.526407,55.633609,180.0,top
C31,83.918971,67.343706,0.0,top
C32,84.765254,49.99297,180.0,top
C35,90.306869,49.024508,90.0,top
C36,91.844757,48.603162,270.0,top
C38,97.813045,64.000576,0.0,top
C39,85.987179,19.773671,270.0,top
C4,95.727851,14.13054,180.0,top
C40,98.408514,61.91203,180.0,top
C41,86.147163,15.712424,90.0,top
C42,59.012691,30.892141,90.0,top
C45,60.288755,9.471129,270.0,top
C47,82.531099,71.02625,270.0,top
C48,66.523736,7.872455,180.0,top
C50,19.8,37.02,270.0,top
C56,22.27927,83.236527,180.0,top
C57,23.061207,69.094379,180.0,top
C58,70.151252,85.907374,180.0,top
D4,18.147908,60.935588,270.0,top
D5,119.25,42.2,270.0,top
J1,5.701294,72.56,90.0,top
J10,121.55,80.0,90.0,top
J4,3.1,42.0,270.0,top
Q1,97.5,50.3,270.0,top
Q10,71.825,48.225,0.0,top
Q9,72.578346,51.95044,0.0,top
R1,18.884858,69.546031,270.0,top
R2,78.964405,53.954272,180.0,top
R21,61.840157,8.884241,270.0,top
R22,65.591774,13.154825,180.0,top
R25,65.546684,11.291116,0.0,top
R26,65.561714,9.532616,180.0,top
R27,75.679967,74.318113,0.0,top
R28,80.146386,71.396166,270.0,top
R3,91.075284,67.003368,0.0,top
R32,88.306125,47.94977,90.0,top
R33,19.0,82.0,180.0,top
R34,19.025,80.1,180.0,top
R35,17.789975,65.358945,90.0,top
R36,20.695193,62.215722,90.0,top
R37,13.557435,38.568629,180.0,top
R38,14.107476,46.310746,270.0,top
R4,93.277851,14.83054,270.0,top
R41,83.666828,83.512652,0.0,top
R48,19.507746,75.661108,270.0,top
R5,95.986458,56.051368,270.0,top
R50,59.9,19.2125,90.0,top
R51,30.825,47.6,0.0,top
R52,23.022422,63.591351,0.0,top
R54,81.945154,50.842046,270.0,top
R55,30.825,45.9,180.0,top
R57,58.3,8.875,270.0,top
R58,89.687901,75.077265,180.0,top
R59,85.712605,75.206884,180.0,top
R6,99.336623,36.514206,90.0,top
R60,61.8,16.425097,270.0,top
R61,63.479459,16.429985,90.0,top
R62,94.396305,66.906739,270.0,top
R70,104.015149,46.475649,0.0,top
R73,100.904016,45.061498,0.0,top
R74,105.623511,43.444589,180.0,top
R76,97.634669,46.808347,0.0,top
R77,76.046769,52.015126,270.0,top
R78,77.904863,50.094804,90.0,top
U10,88.015261,58.658615,180.0,top
U11,80.18485,17.107614,180.0,top
U13,87.924657,71.536893,0.0,top
U14,20.445,42.125,270.0,top
U15,12.586664,41.972197,0.0,top
U19,23.768639,80.421283,270.0,top
U2,95.173731,18.296119,180.0,top
U20,22.410462,66.607364,180.0,top
U21,70.311956,82.711801,180.0,top
U8,61.618042,12.073398,180.0,top
Y2,76.976566,60.750848,90.0,top
