Designator,Footprint,Quantity,Value,LCSC Part #
"ANT1, ANT2, ANT3, ANT4, ANT5",U.FL-R-SMT-1,5,U.FL-R-SMT-1,C88374
"C1, C2",0603,2,33pF,C1663
"C10, C12, C13, C35, C40, C8, C9",0603,7,100nF,C14663
"C11, C14, C15, C16, C21, C22",CP_EIA-3216-18_Kemet-A,6,10uF,C7171
"C17, C18, C19, C20, C23, C24, C25, C26, C27, C28, C29, C3, C4, C41, C42, C5, C6, C7",0402,18,100nF,C307331
C30,0805,1,47pF,C14857
"C31, C32, C38, C39",0603,4,2.2uF,C23630
"C33, C34",CP_EIA-3528-21_Kemet-B,2,33uF,C128342
C37,0603,1,1uF,C15849
"D1, D2, D3, D4",0603,4,LED,C94869
FB1,0603,1,120Ω@100MHz ,C127301
Q1,SOT-23,1,2N7002,C8545
"R1, R25, R32, R35, R36, R37, R4",0603,7,100R,C22775
R10,0805,1,200R,C17540
"R11, R15, R18, R23, R24, R27, R38",0805,7,49R9,C17720
"R12, R17, R26, R28, R33, R39, R5, R9",0603,8,1K0,C21190
"R14, R16",0603,2,130K,C22795
"R19, R20, R21, R22",0805,4,1K0,C21190
"R2, R3",0603,2,4K7,C23162
R29,0603,1,270R,C22966
R31,0603,1,22R0,C23345
"R34, R6, R7, R8",0603,4,510R,C23193
"TP1, TP10, TP11, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP2, TP20, TP22, TP23, TP24, TP3, TP4, TP5, TP7, TP8, TP9",TestPoint_THTPad_D1.5mm_Drill0.7mm,21,~,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,C15742
U10,SOT-89-3,1,L78L05_SOT89,C71136
"U11, U15",SC70_DCK_TEX,2,TLV3603DCKR,C5213955
"U12, U13, U14",SOT-23-5,3,SN74LVC1G14DBV,C133145
"U2, U4",SOT-23-6,2,ADA4807-1,C2058411
U3,SOT95P280X145-6N,1,OPA357AIDBVR,C139385
U5,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U6,SOT-23-6,1,LM2776,C69527
U7,DPAK172P1054X200-6N,1,BA50DD0WHFP-TR,C509718
U8,SOT-223-3_TabPin2,1,AMS1117-5.0,C6187
U9,SOT-89-3,1,L79L05_SOT89,C122849
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz ,C13738
